location_id,address,applicant,days_hours,food_items,latitude,longitude,schedule,zip_codes
1336751,1555 BURKE AVE,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.743713475368,-122.385964790036,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1336750,1570 BURKE AVE,Park's Catering,,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,37.7447521916164,-122.385679248721,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00056&ExportPDF=1&Filename=19MFF-00056_schedule.pdf,58
1334930,3839 WASHINGTON ST,D & T Catering,,Cold Truck: Pre-packaged sandwiches: Chicken Bake: Canned Soup: Chili Dog: Corn Dog: Cup of Noodles: Egg Muffins: Hamburgers: Cheeseburgers: Hot Dog: Hot sandwiches: quesadillas: Beverages: Flan: Fruits: Yogurt: Candy: Cookies: Chips: Donuts: Snacks,37.788583655156,-122.456059894366,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00049&ExportPDF=1&Filename=19MFF-00049_schedule.pdf,54
1337425,931 PALOU AVE,Liang Bai Ping,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7267339112416,-122.378972005236,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,58
1337456,201 FOLSOM ST,Liang Bai Ping,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7881452832928,-122.391181920263,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,28855
1337271,625 02ND ST,"Chairman SF, LLC",,Baos: bowls & drinks,37.7816889753451,-122.391061817287,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00069&ExportPDF=1&Filename=19MFF-00069_schedule.pdf,28856
1337454,1153 SHAFTER AVE,Liang Bai Ping,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7264851632165,-122.383232458707,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,58
1337428,1145 REVERE AVE,Liang Bai Ping,,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,37.7265904795194,-122.381752211406,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00079&ExportPDF=1&Filename=19MFF-00079_schedule.pdf,58
1336889,15 MARINA BLVD,Philz Coffee Truck,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.8045778690901,-122.433010774343,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00058&ExportPDF=1&Filename=19MFF-00058_schedule.pdf,57
1336964,3253 16TH ST,BH & MT LLC,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.7644595214424,-122.425161376358,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00061&ExportPDF=1&Filename=19MFF-00061_schedule.pdf,28859
1336886,250 PINE ST,Philz Coffee Truck,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7922955998187,-122.400706897233,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00058&ExportPDF=1&Filename=19MFF-00058_schedule.pdf,28854
1336962,1265 GROVE ST,BH & MT LLC,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,37.7757743684103,-122.437331607841,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00061&ExportPDF=1&Filename=19MFF-00061_schedule.pdf,29492
1336955,351 CALIFORNIA ST,MOMO INNOVATION LLC,,Noodles: Meat & Drinks,37.7928707497415,-122.400747494077,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00060&ExportPDF=1&Filename=19MFF-00060_schedule.pdf,28854
1336890,735 MONTGOMERY ST,Philz Coffee Truck,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7962154965941,-122.403754558245,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00058&ExportPDF=1&Filename=19MFF-00058_schedule.pdf,28860
1336888,401 CALIFORNIA ST,Philz Coffee Truck,,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7927957415787,-122.401353280931,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00058&ExportPDF=1&Filename=19MFF-00058_schedule.pdf,28854
1336958,170 OTIS ST,BH & MT LLC,,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages,0,0,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=19MFF-00061&ExportPDF=1&Filename=19MFF-00061_schedule.pdf,
